Overall Qual,Exter Qual,Kitchen Qual,Bsmt Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Lot Area,Lot Frontage,Neighborhood,MS Zoning,Bldg Type,House Style,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Garage Cars,Garage Area,Fireplaces,Central Air,BsmtFin SF 1,Wood Deck SF,Open Porch SF,Mas Vnr Area,SalePrice
6,TA,TA,TA,987,483.0,483,1680,21.0,BrDale,RM,Twnhs,2Story,1971,1971,1,5,1.0,264.0,0,Y,156.0,275,0,504.0,96000
5,TA,TA,TA,1092,525.0,525,1680,21.0,BrDale,RM,Twnhs,2Story,1971,1971,1,6,1.0,320.0,0,Y,300.0,0,0,492.0,105500
6,TA,TA,TA,1092,525.0,525,1680,21.0,BrDale,RM,Twnhs,2Story,1971,1971,1,6,1.0,264.0,0,Y,0.0,0,0,381.0,88000
6,TA,TA,Gd,1069,1069.0,1069,4043,53.0,NPkVill,RL,TwnhsE,1Story,1977,1977,2,4,2.0,440.0,1,Y,360.0,0,55,0.0,127500
6,TA,Gd,TA,1456,855.0,855,2280,24.0,NPkVill,RL,Twnhs,2Story,1975,1975,2,6,2.0,440.0,1,Y,514.0,173,0,0.0,149900
7,TA,TA,Gd,836,836.0,836,2280,24.0,NPkVill,RL,Twnhs,1Story,1975,1975,1,4,1.0,308.0,0,Y,0.0,0,30,0.0,120000
6,TA,TA,Gd,1456,855.0,855,2280,24.0,NPkVill,RL,Twnhs,2Story,1978,1978,2,7,2.0,440.0,1,Y,311.0,26,0,0.0,146000
9,Ex,Ex,Ex,2334,1590.0,1627,12858,102.0,NridgHt,RL,1Fam,2Story,2009,2010,2,10,3.0,751.0,1,Y,0.0,144,133,162.0,376162
8,Gd,Gd,Ex,1704,1704.0,1704,11478,98.0,NridgHt,RL,1Fam,1Story,2007,2008,2,7,3.0,772.0,1,Y,1218.0,0,50,200.0,306000
9,Ex,Ex,Ex,1940,1930.0,1940,10159,83.0,NridgHt,RL,1Fam,1Story,2009,2010,2,8,3.0,606.0,1,Y,1646.0,168,95,450.0,395192
8,Gd,Gd,Gd,1544,1544.0,1544,12883,94.0,NridgHt,RL,1Fam,1Story,2009,2010,2,7,3.0,868.0,0,Y,0.0,0,35,256.0,290941
7,Gd,Gd,Gd,1541,1541.0,1541,12182,95.0,NridgHt,RL,1Fam,1Story,2005,2005,2,7,2.0,532.0,1,Y,1201.0,0,70,226.0,220000
9,Gd,Ex,Ex,1698,1698.0,1698,11520,90.0,NridgHt,RL,1Fam,1Story,2005,2005,2,7,3.0,730.0,1,Y,110.0,192,74,615.0,275000
8,Gd,Ex,Ex,1822,1822.0,1822,14122,79.0,NridgHt,RL,1Fam,1Story,2005,2006,2,8,3.0,678.0,1,Y,28.0,0,119,240.0,259000
7,Gd,Gd,Gd,1535,1517.0,1535,10171,70.0,NridgHt,RL,1Fam,1Story,2004,2004,2,7,2.0,532.0,0,Y,2.0,0,0,168.0,214000
9,Ex,Ex,Ex,2364,2330.0,2364,12919,100.0,NridgHt,RL,1Fam,1Story,2009,2010,2,11,3.0,820.0,2,Y,2188.0,0,67,760.0,611657
7,Gd,Gd,Gd,1358,1358.0,1358,6371,44.0,NridgHt,RL,TwnhsE,1Story,2009,2010,2,6,2.0,484.0,1,Y,733.0,192,35,128.0,224000
9,Ex,Ex,Ex,2696,2846.0,2696,14300,110.0,NridgHt,RL,1Fam,1Story,2003,2004,2,10,3.0,958.0,2,Y,1373.0,220,150,1095.0,500000
8,Gd,Gd,Gd,2250,1671.0,1687,13650,105.0,NridgHt,RL,1Fam,2Story,2002,2002,2,7,3.0,756.0,1,Y,578.0,238,130,232.0,320000
9,Ex,Ex,Ex,1752,1752.0,1752,7658,61.0,NridgHt,RL,TwnhsE,1Story,2005,2005,2,6,2.0,576.0,1,Y,456.0,196,82,412.0,319900
8,Gd,Gd,Gd,1370,1370.0,1370,7132,41.0,NridgHt,RL,TwnhsE,1Story,2006,2006,2,6,2.0,484.0,1,Y,24.0,120,49,178.0,205000
7,Gd,Gd,Gd,1626,764.0,764,2628,36.0,NridgHt,RL,Twnhs,2Story,2003,2003,2,6,2.0,474.0,0,Y,0.0,0,27,106.0,175500
6,Gd,Gd,Gd,1324,1324.0,1324,18494,100.0,Gilbert,RL,1Fam,1Story,2005,2005,2,6,2.0,430.0,0,Y,0.0,36,23,0.0,199500
7,Gd,Gd,Gd,1145,1145.0,1145,3203,43.0,Blmngtn,RL,TwnhsE,1Story,2006,2006,2,6,2.0,437.0,0,Y,16.0,100,116,14.0,160000
8,Gd,Gd,Gd,1269,1256.0,1269,3182,43.0,Blmngtn,RL,TwnhsE,1Story,2004,2005,2,6,2.0,430.0,1,Y,24.0,146,20,16.0,192000
7,Gd,Gd,Gd,1374,384.0,744,13300,67.0,Gilbert,RL,1Fam,SLvl,2004,2004,2,7,2.0,400.0,1,Y,326.0,100,0,0.0,184500
6,Gd,Gd,Gd,1960,860.0,860,7851,,Gilbert,RL,1Fam,2Story,2002,2002,2,8,2.0,440.0,2,Y,625.0,288,48,,216500
7,Gd,Gd,Gd,1733,847.0,847,8577,63.0,Gilbert,RL,1Fam,2Story,2004,2004,2,7,2.0,433.0,1,Y,0.0,144,48,0.0,185088
7,TA,TA,Gd,1430,384.0,774,7750,,Gilbert,RL,1Fam,SLvl,2000,2000,2,7,2.0,400.0,1,Y,250.0,180,0,0.0,180000
7,Gd,Gd,Gd,2035,884.0,884,9505,,Gilbert,RL,1Fam,2Story,2001,2001,2,8,2.0,434.0,1,Y,0.0,144,48,180.0,222500
9,Gd,Gd,Gd,2599,1393.0,1422,14774,108.0,NoRidge,RL,1Fam,2Story,1999,1999,2,10,3.0,779.0,1,Y,0.0,668,30,165.0,333168
8,Gd,Gd,Ex,2475,1629.0,1645,17433,60.0,NoRidge,RL,1Fam,2Story,1998,1998,2,7,3.0,962.0,1,Y,0.0,23,172,114.0,355000
7,Gd,Gd,Gd,1720,1720.0,1720,10593,59.0,NoRidge,RL,1Fam,1Story,1996,1996,2,7,2.0,527.0,1,Y,919.0,240,56,338.0,260400
8,Gd,Gd,Ex,2622,1463.0,1500,12256,98.0,NoRidge,RL,1Fam,2Story,1994,1995,2,9,2.0,712.0,2,Y,1032.0,186,32,362.0,325000
8,Gd,Gd,Gd,2270,1152.0,1164,11764,92.0,NoRidge,RL,1Fam,2Story,1999,2007,2,9,3.0,671.0,1,Y,524.0,132,57,348.0,290000
7,Gd,TA,Gd,1839,1195.0,1195,16770,58.0,NoRidge,RL,1Fam,2Story,1998,1998,2,7,2.0,486.0,0,Y,0.0,0,81,30.0,221000
8,Gd,Gd,Gd,3238,2033.0,2053,14720,56.0,NoRidge,RL,1Fam,1.5Fin,1995,1996,2,9,3.0,666.0,1,Y,816.0,283,86,579.0,410000
8,Gd,Gd,Gd,1595,1595.0,1595,8987,73.0,Somerst,RL,1Fam,1Story,2005,2006,2,6,3.0,880.0,1,Y,0.0,144,0,226.0,221500
7,Gd,Gd,Gd,1218,1218.0,1218,9215,92.0,Somerst,FV,1Fam,1Story,2009,2010,2,4,2.0,676.0,0,Y,0.0,0,136,0.0,204500
7,TA,Gd,Gd,1547,756.0,764,8640,72.0,Somerst,FV,1Fam,2Story,2009,2009,2,7,2.0,614.0,0,Y,24.0,169,45,0.0,215200
8,Gd,Gd,Gd,1566,1566.0,1566,9000,75.0,Somerst,FV,1Fam,1Story,2008,2008,2,7,2.0,750.0,0,Y,1078.0,144,168,36.0,262500
7,Gd,Gd,Gd,1947,991.0,991,12552,100.0,Somerst,FV,1Fam,2Story,2004,2005,2,8,2.0,678.0,1,Y,222.0,0,136,0.0,254900
6,Gd,Gd,Ex,1468,1468.0,1468,10440,84.0,Somerst,FV,1Fam,1Story,2005,2005,2,6,2.0,528.0,1,Y,1414.0,0,102,0.0,271500
7,Gd,Gd,Gd,2084,956.0,956,10142,76.0,SawyerW,RL,1Fam,2Story,2004,2004,2,8,2.0,618.0,0,Y,656.0,0,45,0.0,233000
7,Gd,Gd,Gd,1659,831.0,831,11920,70.0,SawyerW,RL,1Fam,2Story,2004,2004,2,8,2.0,484.0,0,Y,0.0,144,68,122.0,181000
7,Gd,Gd,Gd,2110,948.0,1222,8880,,SawyerW,RL,1Fam,2Story,1994,2002,2,8,2.0,463.0,2,Y,695.0,0,130,0.0,205000
6,TA,TA,Gd,923,923.0,923,8012,50.0,SawyerW,RL,TwnhsE,1Story,1980,1980,2,5,1.0,264.0,1,Y,543.0,80,0,0.0,143000
6,Gd,Gd,Gd,1845,1055.0,1055,11218,70.0,SawyerW,RL,1Fam,2Story,1992,1992,2,8,2.0,462.0,1,Y,0.0,635,104,0.0,189000
6,TA,TA,Gd,918,918.0,918,7892,55.0,SawyerW,RL,TwnhsE,1Story,1979,1979,2,5,1.0,264.0,1,Y,0.0,28,0,0.0,99500
6,TA,TA,Gd,752,744.0,752,7175,50.0,SawyerW,RL,TwnhsE,1Story,1984,1984,1,4,1.0,264.0,0,Y,623.0,353,0,0.0,125000
7,Gd,Gd,Gd,1744,996.0,1014,9453,,SawyerW,RL,1Fam,2Story,1993,2003,2,7,2.0,457.0,0,Y,402.0,370,70,0.0,194500
6,TA,TA,Gd,1097,1040.0,1097,9672,81.0,SawyerW,RL,1Fam,1Story,1984,1985,2,6,2.0,480.0,0,Y,338.0,0,0,0.0,152000
6,TA,TA,Gd,1564,650.0,888,8400,70.0,SawyerW,RL,1Fam,2Story,1980,1981,2,7,2.0,476.0,1,Y,0.0,0,50,130.0,171000
5,TA,TA,TA,1012,816.0,1012,9800,70.0,SawyerW,RH,1Fam,1Story,1920,1950,1,5,1.0,429.0,0,N,0.0,121,0,0.0,67500
6,TA,TA,,1902,0.0,1318,8930,68.0,Sawyer,RM,Duplex,1.5Fin,1978,1978,2,8,2.0,539.0,0,Y,0.0,0,0,0.0,112000
5,TA,Gd,TA,1155,1109.0,1155,11782,88.0,Sawyer,RL,1Fam,SFoyer,1961,1995,1,6,2.0,576.0,0,Y,899.0,192,0,0.0,148000
5,TA,TA,TA,894,894.0,894,8450,65.0,Sawyer,RL,1Fam,1Story,1965,2009,1,5,1.0,336.0,1,Y,553.0,416,144,0.0,138500
5,TA,TA,TA,900,882.0,900,9819,,Sawyer,RL,1Fam,1Story,1967,1967,1,5,1.0,280.0,0,Y,450.0,0,0,31.0,122000
5,TA,TA,TA,1040,1040.0,1040,7500,75.0,Sawyer,RL,1Fam,1Story,1963,1963,1,5,1.0,308.0,0,Y,824.0,0,0,0.0,133000
5,TA,TA,TA,1040,1040.0,1040,6897,,Sawyer,RL,1Fam,1Story,1962,2010,1,6,1.0,260.0,0,Y,659.0,0,104,0.0,127000
6,TA,TA,TA,1494,1208.0,1494,15410,39.0,Sawyer,RL,1Fam,1Story,1974,2002,2,7,2.0,461.0,2,Y,126.0,296,0,250.0,169000
7,Gd,Gd,Gd,1923,750.0,1061,10186,107.0,NoRidge,RL,1Fam,2Story,1992,1992,2,8,2.0,564.0,1,Y,674.0,240,39,0.0,190000
8,Gd,Gd,Gd,2349,1231.0,1251,13143,85.0,NoRidge,RL,1Fam,2Story,1993,1993,2,9,3.0,762.0,1,Y,250.0,32,130,504.0,362500
8,Gd,Gd,Gd,2225,1390.0,1402,11134,88.0,NoRidge,RL,1Fam,2Story,1992,1993,2,7,3.0,713.0,1,Y,1129.0,198,30,180.0,285000
7,Gd,Gd,Ex,1488,1488.0,1488,4835,25.0,Somerst,FV,TwnhsE,1Story,2004,2005,2,6,2.0,506.0,1,Y,1298.0,168,50,0.0,260000
7,Gd,Gd,Gd,1680,840.0,840,3515,39.0,Somerst,FV,TwnhsE,2Story,2004,2004,2,3,2.0,588.0,0,Y,0.0,0,111,0.0,190000
7,Gd,Gd,Gd,1200,600.0,600,3215,30.0,Somerst,FV,TwnhsE,2Story,2004,2004,2,4,2.0,480.0,0,Y,280.0,0,172,120.0,155000
7,Gd,Gd,Gd,1200,600.0,600,3182,30.0,Somerst,FV,TwnhsE,2Story,2004,2005,2,4,2.0,480.0,0,Y,0.0,0,172,0.0,151000
7,Gd,Gd,Gd,1200,600.0,600,2544,24.0,Somerst,FV,Twnhs,2Story,2004,2005,2,4,2.0,480.0,0,Y,368.0,0,172,0.0,149500
6,Gd,Gd,Gd,1236,600.0,600,2544,24.0,Somerst,FV,Twnhs,2Story,2005,2005,2,4,2.0,480.0,0,Y,376.0,0,166,216.0,152000
7,Ex,Gd,Ex,1478,1470.0,1478,4403,,Somerst,FV,1Fam,1Story,2009,2009,2,7,2.0,484.0,1,Y,578.0,0,144,432.0,222000
6,Gd,Gd,Gd,1573,756.0,769,2117,,Somerst,FV,Twnhs,2Story,2000,2000,2,5,2.0,440.0,0,Y,378.0,0,32,216.0,177500
6,Gd,Gd,Gd,1512,756.0,756,2980,,Somerst,FV,TwnhsE,2Story,2000,2000,2,5,2.0,440.0,0,Y,466.0,0,32,1159.0,177000
7,Gd,Gd,Gd,1416,696.0,696,2572,24.0,Somerst,FV,Twnhs,2Story,1999,1999,2,6,2.0,484.0,0,Y,604.0,0,44,0.0,155000
7,Gd,Gd,Gd,1080,530.0,530,2403,,Somerst,FV,TwnhsE,2Story,2003,2003,2,4,2.0,496.0,0,Y,244.0,0,50,0.0,147110
8,Gd,Gd,Ex,1418,1642.0,1418,12853,57.0,Somerst,FV,1Fam,1Story,2010,2010,1,6,3.0,852.0,1,Y,1032.0,160,192,0.0,267916
8,Gd,Gd,Gd,1848,975.0,975,7379,68.0,Somerst,FV,1Fam,2Story,2000,2000,2,7,2.0,592.0,1,Y,484.0,280,184,0.0,254000
8,Gd,Gd,Gd,788,728.0,788,4420,30.0,Greens,RL,TwnhsE,1Story,1980,1980,1,3,2.0,484.0,1,Y,728.0,133,42,0.0,155000
8,Gd,Gd,Gd,1226,1226.0,1226,3880,40.0,Greens,RL,Twnhs,1Story,1978,1978,1,4,2.0,484.0,1,Y,1052.0,223,78,0.0,206000
6,Gd,Gd,TA,1479,725.0,725,13517,,Sawyer,RL,1Fam,2Story,1976,2005,2,6,2.0,475.0,0,Y,533.0,0,44,289.0,130500
7,Gd,Gd,Gd,1492,1492.0,1492,8000,80.0,Somerst,FV,1Fam,1Story,2002,2002,2,6,2.0,596.0,1,Y,833.0,277,137,0.0,230000
6,TA,TA,TA,1829,1829.0,1829,10456,,NWAmes,RL,1Fam,1Story,1967,1967,2,8,2.0,535.0,0,Y,506.0,0,76,120.0,218500
6,TA,Gd,Gd,2495,1280.0,1280,10791,80.0,NWAmes,RL,1Fam,2Story,1993,1993,2,9,2.0,660.0,1,Y,1137.0,224,32,0.0,243500
6,TA,Gd,TA,1610,1610.0,1610,10603,,NWAmes,RL,1Fam,1Story,1977,2001,2,6,2.0,480.0,2,Y,1200.0,168,68,28.0,205000
6,TA,TA,Gd,1891,1224.0,1287,18837,,NWAmes,RL,1Fam,1.5Fin,1978,1978,3,7,2.0,678.0,1,Y,687.0,0,69,0.0,212500
7,TA,TA,Gd,1714,980.0,980,10421,80.0,NWAmes,RL,1Fam,2Story,1988,1988,2,7,2.0,496.0,1,Y,394.0,228,66,42.0,196500
6,TA,Gd,TA,1381,1161.0,1381,9360,78.0,NWAmes,RL,1Fam,1Story,1972,2006,1,5,2.0,676.0,1,Y,982.0,0,0,0.0,197500
6,TA,TA,TA,1645,715.0,930,9600,80.0,NWAmes,RL,1Fam,2Story,1971,1971,1,7,2.0,441.0,0,Y,329.0,0,78,0.0,171000
5,TA,TA,TA,1232,1232.0,1232,9600,80.0,NAmes,RL,1Fam,1Story,1966,1966,1,6,2.0,490.0,0,Y,698.0,0,224,172.0,142250
6,TA,TA,TA,1328,1328.0,1328,9790,,NWAmes,RL,1Fam,1Story,1963,1963,1,6,2.0,528.0,2,Y,569.0,0,26,451.0,143000
4,TA,TA,TA,1225,950.0,1225,9320,77.0,NAmes,RL,1Fam,1Story,1959,1959,1,6,0.0,0.0,0,Y,569.0,352,0,0.0,128950
5,TA,TA,Gd,1209,1209.0,1209,9900,90.0,NAmes,RL,1Fam,1Story,1966,1966,1,6,2.0,504.0,0,Y,1059.0,0,0,0.0,159000
5,TA,Gd,TA,1510,1510.0,1510,9680,88.0,NAmes,RL,1Fam,1Story,1967,1967,2,6,2.0,517.0,0,Y,1010.0,0,40,268.0,178900
6,TA,TA,TA,1775,533.0,1131,10600,,NAmes,RL,1Fam,SLvl,1964,1964,2,8,2.0,480.0,0,Y,0.0,0,172,0.0,136300
5,TA,TA,TA,1152,1152.0,1152,14112,,NAmes,RL,1Fam,SLvl,1964,1964,1,6,2.0,484.0,1,Y,1014.0,227,0,86.0,180500
6,TA,Gd,TA,1054,936.0,1054,8800,80.0,NAmes,RL,1Fam,SFoyer,1963,1963,1,6,2.0,480.0,0,Y,763.0,120,0,156.0,137500
5,TA,TA,TA,1728,1728.0,1728,13260,98.0,NAmes,RL,Duplex,1Story,1962,2001,2,10,0.0,0.0,0,Y,1500.0,0,0,144.0,84900
5,TA,Gd,TA,1078,1078.0,1078,9717,68.0,NAmes,RL,1Fam,1Story,1950,1996,1,5,1.0,240.0,0,Y,49.0,366,0,0.0,142125
5,Gd,TA,TA,2461,1140.0,1929,9724,68.0,NAmes,RL,1Fam,1.5Fin,1952,2002,2,7,2.0,400.0,2,Y,670.0,0,0,265.0,197600
6,TA,TA,TA,1556,782.0,1019,17360,120.0,NAmes,RL,1Fam,1.5Fin,1949,1950,2,6,2.0,470.0,1,Y,300.0,0,0,340.0,172500
5,TA,TA,TA,858,858.0,858,7207,50.0,BrkSide,RL,1Fam,1Story,1958,2008,1,4,0.0,0.0,0,Y,696.0,117,0,0.0,116500
3,TA,Fa,TA,1306,728.0,1306,5350,55.0,BrkSide,RL,1Fam,1Story,1940,1966,1,6,0.0,0.0,0,Y,0.0,263,0,0.0,76500
5,TA,TA,TA,1063,1056.0,1063,9920,80.0,NAmes,RL,1Fam,1Story,1954,1954,1,6,1.0,280.0,0,Y,354.0,0,0,110.0,128000
6,TA,TA,TA,1520,1156.0,1520,9600,80.0,NAmes,RL,1Fam,SLvl,1955,1972,1,7,1.0,364.0,2,Y,674.0,0,0,164.0,153000
5,TA,TA,TA,1268,1268.0,1268,7800,78.0,NAmes,RL,1Fam,1Story,1954,1954,1,7,1.0,244.0,1,Y,540.0,0,98,200.0,132000
6,TA,Gd,TA,1128,1080.0,1128,11380,75.0,NAmes,RL,1Fam,SFoyer,1966,2008,1,5,1.0,315.0,1,Y,944.0,238,0,216.0,178000
5,TA,TA,TA,2274,1105.0,1105,11600,80.0,NAmes,RL,Duplex,2Story,1960,1960,2,12,2.0,480.0,0,Y,443.0,0,0,361.0,154300
7,TA,TA,Gd,2207,1947.0,2207,19900,,NAmes,RL,1Fam,1Story,1970,1989,2,7,2.0,576.0,1,Y,912.0,301,0,287.0,180000
6,Gd,Gd,TA,1888,1517.0,1888,16492,137.0,NAmes,RL,1Fam,1Story,1966,2002,2,6,2.0,578.0,1,Y,247.0,0,0,0.0,190000
5,TA,TA,TA,1604,1604.0,1604,8267,70.0,NAmes,RL,Duplex,1Story,1958,1958,2,8,2.0,576.0,0,Y,0.0,42,0,0.0,135000
7,Gd,Gd,Gd,1480,1480.0,1480,8197,70.0,NAmes,RL,1Fam,1Story,2003,2009,2,7,2.0,620.0,0,Y,1188.0,252,73,506.0,214000
5,TA,TA,TA,1143,1143.0,1143,8050,,NAmes,RL,1Fam,1Story,1959,1959,1,6,1.0,308.0,0,Y,856.0,0,0,150.0,136000
5,TA,Gd,TA,1700,1398.0,1700,10552,70.0,NAmes,RL,1Fam,1Story,1959,1959,1,6,2.0,447.0,1,Y,1018.0,0,38,0.0,165500
5,TA,TA,TA,1314,1314.0,1314,8400,70.0,NAmes,RL,1Fam,1Story,1957,1957,1,5,1.0,294.0,0,Y,922.0,250,0,0.0,145000
6,TA,TA,TA,1194,1194.0,1194,8760,73.0,NAmes,RL,1Fam,1Story,1959,1959,1,6,1.0,312.0,0,Y,0.0,0,0,220.0,148000
5,TA,TA,TA,1188,1188.0,1188,12160,,NAmes,RL,1Fam,1Story,1959,1959,1,6,2.0,531.0,0,Y,1000.0,0,0,180.0,142000
5,TA,TA,TA,1264,1268.0,1264,9300,73.0,NAmes,RL,1Fam,1Story,1960,1960,1,6,2.0,461.0,2,Y,697.0,0,0,324.0,167500
5,TA,TA,TA,1206,1206.0,1206,10725,87.0,NAmes,RL,1Fam,1Story,1959,1959,1,6,1.0,312.0,0,Y,936.0,0,21,91.0,108538
6,TA,TA,TA,1580,1244.0,1580,10032,80.0,NAmes,RL,1Fam,1Story,1959,1959,1,6,2.0,440.0,2,Y,734.0,0,28,432.0,159500
4,TA,TA,TA,1337,832.0,832,8382,60.0,NAmes,RL,1Fam,1.5Fin,1956,1956,1,5,1.0,263.0,0,Y,0.0,0,0,0.0,108000
5,TA,Fa,TA,1064,864.0,1064,10950,60.0,NAmes,RL,1Fam,1Story,1952,1952,1,4,1.0,318.0,0,Y,339.0,0,0,0.0,135000
5,TA,TA,TA,972,972.0,972,10895,119.0,NAmes,RL,1Fam,1Story,1955,1955,1,5,1.0,305.0,0,Y,648.0,0,0,0.0,122500
5,TA,TA,TA,988,988.0,988,13587,70.0,NAmes,RL,2fmCon,1Story,1958,1958,1,5,1.0,264.0,0,Y,532.0,0,0,0.0,119000
5,TA,Gd,TA,1057,1057.0,1057,7922,68.0,NAmes,RL,1Fam,1Story,1953,2007,1,5,1.0,246.0,0,Y,731.0,0,52,0.0,109000
4,TA,TA,TA,985,576.0,985,7898,65.0,NAmes,RL,1Fam,1Story,1920,1994,1,4,2.0,676.0,0,Y,0.0,0,0,0.0,105000
5,TA,TA,,827,0.0,827,7200,60.0,NAmes,RL,1Fam,1Story,1955,2007,1,5,1.0,392.0,1,Y,0.0,0,0,0.0,107500
5,TA,TA,TA,1086,1086.0,1086,10200,85.0,NAmes,RL,1Fam,1Story,1954,2003,1,6,2.0,490.0,0,Y,320.0,0,0,104.0,144900
5,TA,TA,TA,936,936.0,936,5868,74.0,NAmes,RL,1Fam,1Story,1956,2000,1,4,1.0,308.0,0,Y,248.0,0,0,0.0,129000
6,TA,TA,TA,1458,912.0,912,17503,78.0,NAmes,RL,1Fam,1.5Fin,1948,1950,1,6,1.0,330.0,1,Y,0.0,192,0,0.0,97500
6,TA,TA,TA,1056,1056.0,1056,6979,64.0,OldTown,RL,Duplex,SFoyer,1980,1980,0,4,2.0,576.0,0,Y,1056.0,264,56,0.0,144000
